Invoice_ID,Customer_ID,Gender,Age,City,Product_Category,Product_Name,Quantity,Price_Per_Unit,Total_Amount,Payment_Method,Date_of_Purchase,Discount_Percent,Final_Amount,Loyalty_Customer
BB1038,CUST587,Female,33,Thane,Electronics,Power Bank,1,252.55,252.55,UPI,2024-11-23,15,214.67,No
BB1039,CUST673,Female,33,Hyderabad,Beauty,Perfume,3,197.49,592.47,UPI,2025-04-28,10,533.22,No
BB1040,CUST223,Male,61,Jaipur,Apparel,Jeans,2,339.65,679.3,Credit Card,2025-03-02,5,645.33,No
BB1041,CUST413,Male,47,Pune,Kitchen,Chopping Board,8,106.5,852.0,Credit Card,2024-07-01,10,766.8,No
BB1042,CUST472,Male,33,Bangalore,Stationery,Notebook,5,258.55,1292.75,Cash,2024-12-28,10,1163.48,Yes
BB1043,CUST116,Male,46,Nagpur,Groceries,Jaggery,1,271.06,271.06,Credit Card,2025-05-14,5,257.51,No
BB1044,CUST155,Female,63,Pune,Toys & Games,Board Game,7,104.82,733.74,Wallet,2024-09-28,5,697.05,Yes
BB1045,CUST483,Female,38,Hyderabad,Furniture,Shoe Rack,1,184.23,184.23,Cash,2024-10-28,5,175.02,Yes
BB1046,CUST441,Male,37,Thane,Toys & Games,Puzzle,7,324.25,2269.75,Credit Card,2025-05-15,0,2269.75,No
BB1047,CUST142,Female,64,Mumbai,Electronics,Smartwatch,1,347.02,347.02,Cash,2024-09-08,20,277.62,Yes
BB1048,CUST502,Female,38,Surat,Kitchen,Knife Set,5,424.11,2120.55,Cash,2025-01-24,20,1696.44,Yes
BB1049,CUST857,Female,65,Mumbai,Apparel,Jacket,8,431.41,3451.28,Credit Card,2024-09-26,5,3278.72,No
BB1050,CUST823,Female,49,Bangalore,Kitchen,Utensils,9,130.2,1171.8,UPI,2025-06-20,0,1171.8,No
BB1051,CUST820,Female,43,Chandigarh,Furniture,Mattress,6,259.38,1556.28,UPI,2025-04-20,5,1478.47,No
BB1052,CUST331,Female,45,Vadodara,Apparel,Kurta,10,361.72,3617.2,UPI,2024-12-11,5,3436.34,No
BB1053,CUST298,Female,58,Patna,Electronics,Laptop,1,282.36,282.36,Cash,2024-07-30,20,225.89,Yes
BB1054,CUST638,Male,65,Thane,Household,Broom,2,246.11,492.22,Cash,2024-10-26,10,443.0,Yes
BB1055,CUST673,Male,22,Hyderabad,Kitchen,Mixer Grinder,8,321.2,2569.6,Credit Card,2025-01-02,15,2184.16,No
BB1056,CUST412,Female,58,Chandigarh,Toys & Games,Remote Car,8,412.71,3301.68,Cash,2025-06-07,20,2641.34,Yes
BB1057,CUST374,Male,35,Delhi,Beauty,Deodorant,9,57.5,517.5,Wallet,2024-08-09,5,491.62,No
BB1058,CUST206,Female,56,Visakhapatnam,Electronics,Washing Machine,7,328.25,2297.75,Credit Card,2025-01-18,20,1838.2,No
BB1059,CUST343,Male,44,Ahmedabad,Electronics,Headphones,3,93.6,280.8,UPI,2025-03-16,10,252.72,No
BB1060,CUST437,Female,59,Ranchi,Electronics,Headphones,6,137.09,822.54,Cash,2025-01-17,20,658.03,No
BB1061,CUST246,Male,65,Visakhapatnam,Stationery,Scissors,8,331.38,2651.04,Cash,2025-04-25,15,2253.38,No
BB1062,CUST568,Male,26,Hyderabad,Apparel,Shirt,8,480.72,3845.76,Credit Card,2025-01-14,0,3845.76,Yes
BB1063,CUST578,Female,34,Hyderabad,Groceries,Pickles,4,164.25,657.0,UPI,2025-06-18,20,525.6,No
BB1064,CUST354,Male,21,Bangalore,Apparel,Dupatta,3,39.65,118.95,UPI,2025-02-06,10,107.06,No
BB1065,CUST732,Female,21,Bhopal,Stationery,Eraser,4,55.18,220.72,Wallet,2025-02-01,5,209.68,No
BB1066,CUST490,Male,31,Jaipur,Household,Cloth Hanger,4,123.38,493.52,Cash,2024-12-10,0,493.52,No
BB1067,CUST949,Female,32,Bangalore,Beauty,Body Wash,10,109.38,1093.8,UPI,2025-02-04,15,929.73,Yes
BB1068,CUST329,Female,42,Indore,Toys & Games,Coloring Kit,7,407.52,2852.64,UPI,2024-11-18,15,2424.74,No
BB1069,CUST419,Female,61,Chandigarh,Stationery,Highlighter,6,282.81,1696.86,Cash,2025-01-27,0,1696.86,No
BB1070,CUST126,Female,30,Indore,Kitchen,Utensils,6,353.19,2119.14,Wallet,2024-10-15,20,1695.31,Yes
BB1071,CUST803,Male,30,Indore,Household,Broom,2,417.57,835.14,Wallet,2024-09-08,15,709.87,Yes
BB1072,CUST109,Female,49,Bangalore,Stationery,Highlighter,5,239.1,1195.5,UPI,2024-09-07,10,1075.95,Yes
BB1073,CUST241,Female,35,Thane,Stationery,Notebook,10,200.98,2009.8,UPI,2025-02-10,5,1909.31,No
BB1074,CUST843,Female,34,Vadodara,Groceries,Oil,9,440.04,3960.36,Cash,2025-02-26,5,3762.34,No
BB1075,CUST994,Female,61,Bangalore,Electronics,Washing Machine,9,386.92,3482.28,Cash,2024-12-22,20,2785.82,No
BB1076,CUST588,Female,50,Chandigarh,Kitchen,Knife Set,8,208.16,1665.28,UPI,2024-08-02,10,1498.75,Yes
BB1077,CUST326,Male,19,Lucknow,Toys & Games,Doll,4,23.86,95.44,UPI,2025-04-04,5,90.67,Yes
BB1078,CUST252,Female,57,Jaipur,Beauty,Sunscreen,10,465.71,4657.1,Wallet,2025-05-17,0,4657.1,Yes
BB1079,CUST556,Male,56,Chennai,Toys & Games,Remote Car,4,430.65,1722.6,Cash,2025-06-03,20,1378.08,No
BB1080,CUST299,Female,26,Lucknow,Sports,Water Bottle,2,230.97,461.94,UPI,2025-05-05,15,392.65,No
BB1081,CUST620,Female,27,Lucknow,Household,Toilet Cleaner,6,490.84,2945.04,Wallet,2025-05-25,10,2650.54,Yes
BB1082,CUST815,Male,42,Bangalore,Household,Room Freshener,10,187.88,1878.8,Credit Card,2025-06-03,5,1784.86,No
BB1083,CUST767,Male,42,Hyderabad,Sports,Water Bottle,4,119.4,477.6,Credit Card,2025-01-14,15,405.96,No
BB1084,CUST709,Male,64,Thane,Sports,Basketball,6,274.24,1645.44,Cash,2024-11-21,5,1563.17,No
BB1085,CUST845,Male,47,Visakhapatnam,Apparel,Sweater,3,24.93,74.79,Credit Card,2025-03-16,5,71.05,No
BB1086,CUST288,Male,58,Ahmedabad,Beauty,Perfume,9,336.99,3032.91,Wallet,2024-10-09,20,2426.33,Yes
BB1087,CUST600,Female,29,Nagpur,Groceries,Spices,7,498.31,3488.17,Wallet,2025-04-24,20,2790.54,Yes
BB1088,CUST942,Male,54,Delhi,Kitchen,Cutting Board,2,361.31,722.62,Cash,2025-05-07,0,722.62,Yes
BB1089,CUST934,Male,28,Hyderabad,Electronics,Bluetooth Speaker,10,313.46,3134.6,UPI,2025-05-24,10,2821.14,No
BB1090,CUST131,Male,30,Surat,Kitchen,Peeler,1,486.51,486.51,Cash,2025-02-01,10,437.86,Yes
BB1091,CUST156,Male,53,Nagpur,Stationery,Pencil,4,126.14,504.56,Credit Card,2025-06-13,0,504.56,Yes
BB1092,CUST344,Female,30,Surat,Furniture,Plastic Stool,5,295.61,1478.05,Cash,2025-01-29,5,1404.15,Yes
BB1093,CUST417,Male,49,Visakhapatnam,Furniture,Table,5,450.46,2252.3,Credit Card,2024-12-12,15,1914.46,No
BB1094,CUST654,Male,36,Ahmedabad,Apparel,Socks,2,385.4,770.8,Wallet,2025-02-27,20,616.64,No
BB1095,CUST446,Female,53,Bhopal,Groceries,Spices,6,117.39,704.34,Credit Card,2025-06-30,20,563.47,Yes
BB1096,CUST465,Female,65,Vadodara,Stationery,Stapler,9,376.55,3388.95,Cash,2025-06-01,20,2711.16,Yes
BB1097,CUST948,Female,38,Jaipur,Kitchen,Tiffin Box,6,455.23,2731.38,Credit Card,2025-04-17,15,2321.67,No
BB1098,CUST623,Female,31,Bhopal,Sports,Tennis Racket,9,61.7,555.3,Credit Card,2024-07-31,15,472.0,Yes
BB1099,CUST817,Female,54,Kolkata,Toys & Games,Soft Toy,7,446.51,3125.57,Cash,2025-02-10,15,2656.73,Yes
BB1100,CUST541,Female,61,Vadodara,Electronics,Microwave,7,111.78,782.46,Cash,2024-12-26,10,704.21,No
BB1101,CUST915,Male,43,Thane,Beauty,Sunscreen,4,257.23,1028.92,Credit Card,2025-02-16,0,1028.92,Yes
BB1102,CUST190,Female,32,Kolkata,Sports,Gym Gloves,5,73.83,369.15,Wallet,2025-05-06,20,295.32,No
BB1103,CUST504,Male,42,Ahmedabad,Groceries,Spices,1,54.42,54.42,Credit Card,2024-09-27,10,48.98,Yes
BB1104,CUST485,Male,29,Thane,Toys & Games,Toy Gun,7,424.38,2970.66,Wallet,2025-03-25,10,2673.59,No
BB1105,CUST684,Female,20,Ranchi,Beauty,Conditioner,7,51.3,359.1,UPI,2024-08-12,20,287.28,Yes
BB1106,CUST448,Male,34,Indore,Sports,Water Bottle,4,160.35,641.4,Credit Card,2024-09-19,5,609.33,Yes
BB1107,CUST409,Male,21,Chandigarh,Apparel,Leggings,10,416.52,4165.2,Credit Card,2025-04-17,10,3748.68,Yes
BB1108,CUST385,Male,24,Ahmedabad,Stationery,Glue Stick,1,429.67,429.67,Credit Card,2024-10-30,15,365.22,Yes
BB1109,CUST840,Male,52,Nagpur,Kitchen,Non-stick Pan,9,214.7,1932.3,Cash,2025-04-25,20,1545.84,No
BB1110,CUST634,Male,53,Chandigarh,Apparel,Track Pants,1,453.95,453.95,Credit Card,2024-08-06,0,453.95,Yes
BB1111,CUST382,Female,37,Thane,Stationery,Pen,4,48.65,194.6,UPI,2024-08-23,0,194.6,Yes
BB1112,CUST440,Male,33,Nagpur,Beauty,Hair Oil,9,231.88,2086.92,Credit Card,2025-03-13,5,1982.57,Yes
BB1113,CUST101,Male,21,Patna,Furniture,Shoe Rack,7,93.62,655.34,Wallet,2024-07-17,0,655.34,Yes
BB1114,CUST109,Female,62,Hyderabad,Household,Dustbin,4,155.56,622.24,UPI,2025-01-27,10,560.02,Yes
BB1115,CUST712,Female,60,Thane,Household,Room Freshener,10,456.28,4562.8,Credit Card,2025-05-30,10,4106.52,Yes
BB1116,CUST217,Male,32,Thane,Household,Cloth Hanger,9,218.94,1970.46,Wallet,2025-01-12,20,1576.37,No
BB1117,CUST755,Male,47,Bangalore,Stationery,Highlighter,8,272.06,2176.48,Cash,2025-03-07,0,2176.48,No
BB1118,CUST940,Male,50,Bhopal,Groceries,Salt,2,184.31,368.62,Credit Card,2024-07-10,5,350.19,Yes
BB1119,CUST864,Female,35,Visakhapatnam,Household,Dustbin,8,168.37,1346.96,UPI,2025-02-18,0,1346.96,No
BB1120,CUST878,Male,41,Vadodara,Sports,Cricket Bat,2,414.03,828.06,UPI,2025-02-07,10,745.25,Yes
BB1121,CUST214,Male,55,Jaipur,Stationery,Marker,10,392.62,3926.2,Wallet,2025-01-27,15,3337.27,Yes
BB1122,CUST224,Male,50,Bhopal,Kitchen,Non-stick Pan,4,422.98,1691.92,Cash,2024-11-21,5,1607.32,Yes
BB1123,CUST914,Male,27,Chandigarh,Furniture,Bookshelf,6,251.48,1508.88,Wallet,2024-11-13,15,1282.55,No
BB1124,CUST441,Male,34,Hyderabad,Groceries,Pickles,5,218.29,1091.45,UPI,2025-06-24,20,873.16,No
BB1125,CUST223,Female,63,Bhopal,Apparel,Jacket,2,218.21,436.42,UPI,2024-07-14,10,392.78,Yes
BB1126,CUST547,Male,54,Chennai,Apparel,Dupatta,6,393.98,2363.88,Credit Card,2024-07-08,20,1891.1,Yes
BB1127,CUST668,Female,45,Patna,Sports,Gym Gloves,5,246.37,1231.85,Credit Card,2025-06-17,20,985.48,No
BB1128,CUST751,Female,65,Nagpur,Apparel,Track Pants,9,176.46,1588.14,Credit Card,2024-09-06,0,1588.14,Yes
BB1129,CUST311,Male,33,Kolkata,Toys & Games,Puzzle,1,296.5,296.5,Wallet,2024-08-15,20,237.2,Yes
BB1130,CUST878,Female,57,Hyderabad,Stationery,Scissors,5,468.76,2343.8,Credit Card,2024-09-16,10,2109.42,Yes
BB1131,CUST460,Male,47,Ahmedabad,Toys & Games,Building Blocks,5,448.36,2241.8,Cash,2025-04-20,5,2129.71,No
BB1132,CUST348,Female,18,Pune,Stationery,Glue Stick,8,200.36,1602.88,Credit Card,2025-06-08,5,1522.74,Yes
BB1133,CUST559,Female,48,Patna,Furniture,Mattress,9,467.16,4204.44,Wallet,2024-07-09,15,3573.77,No
BB1134,CUST559,Male,47,Patna,Stationery,Files,4,143.49,573.96,UPI,2024-12-03,20,459.17,Yes
BB1135,CUST195,Male,34,Indore,Household,Broom,2,423.24,846.48,UPI,2024-08-07,5,804.16,Yes
BB1136,CUST506,Male,35,Vadodara,Electronics,Washing Machine,1,282.71,282.71,UPI,2024-10-04,20,226.17,Yes
BB1137,CUST654,Female,24,Kolkata,Kitchen,Rolling Pin,10,445.63,4456.3,Wallet,2024-09-19,5,4233.48,No
BB1138,CUST241,Female,40,Chennai,Household,Doormat,5,23.7,118.5,Credit Card,2025-02-22,20,94.8,No
BB1139,CUST135,Female,44,Bangalore,Household,Mop,9,241.16,2170.44,Credit Card,2024-11-06,5,2061.92,Yes
BB1140,CUST914,Male,40,Surat,Toys & Games,Puzzle,4,305.1,1220.4,Wallet,2024-09-04,0,1220.4,Yes
BB1141,CUST798,Female,54,Vadodara,Stationery,Marker,3,201.19,603.57,Cash,2025-01-01,10,543.21,Yes
BB1142,CUST353,Male,59,Delhi,Household,Room Freshener,6,310.44,1862.64,Cash,2024-07-15,20,1490.11,No
BB1143,CUST737,Male,20,Lucknow,Beauty,Kajal,9,330.97,2978.73,Wallet,2024-08-06,15,2531.92,Yes
BB1144,CUST927,Male,61,Thane,Groceries,Tea,2,77.52,155.04,Wallet,2025-06-27,15,131.78,Yes
BB1145,CUST830,Female,31,Lucknow,Household,Broom,4,40.62,162.48,Wallet,2024-09-11,0,162.48,Yes
BB1146,CUST772,Female,50,Jaipur,Furniture,Sofa Cover,7,43.86,307.02,Wallet,2024-11-09,20,245.62,No
BB1147,CUST876,Male,46,Patna,Furniture,Shoe Rack,9,28.44,255.96,Wallet,2025-03-25,5,243.16,Yes
BB1148,CUST120,Male,35,Ahmedabad,Kitchen,Tiffin Box,5,355.4,1777.0,UPI,2025-05-03,10,1599.3,Yes
BB1149,CUST257,Male,55,Indore,Furniture,Bookshelf,1,474.04,474.04,Cash,2025-06-02,15,402.93,No
BB1150,CUST467,Male,47,Delhi,Sports,Yoga Mat,6,266.51,1599.06,UPI,2024-09-01,0,1599.06,Yes
BB1151,CUST429,Male,25,Bangalore,Beauty,Deodorant,8,254.08,2032.64,Credit Card,2025-03-04,10,1829.38,Yes
BB1152,CUST791,Male,43,Hyderabad,Groceries,Oil,2,163.96,327.92,Credit Card,2025-06-19,5,311.52,No
BB1153,CUST202,Female,32,Ranchi,Groceries,Butter,8,120.45,963.6,Credit Card,2024-07-22,15,819.06,No
BB1154,CUST948,Male,37,Ahmedabad,Groceries,Rice,5,205.23,1026.15,UPI,2025-03-05,20,820.92,Yes
BB1155,CUST559,Female,38,Vadodara,Electronics,Air Conditioner,2,64.7,129.4,Credit Card,2025-05-06,20,103.52,Yes
BB1156,CUST707,Male,25,Lucknow,Kitchen,Chopping Board,5,428.65,2143.25,Credit Card,2024-11-03,0,2143.25,Yes
BB1157,CUST283,Male,59,Jaipur,Kitchen,Rolling Pin,2,117.5,235.0,Credit Card,2024-09-30,5,223.25,Yes
BB1158,CUST390,Male,44,Indore,Household,Detergent,4,464.99,1859.96,UPI,2025-02-04,15,1580.97,No
BB1159,CUST931,Female,62,Patna,Electronics,Laptop,7,126.1,882.7,Cash,2024-12-09,20,706.16,Yes
BB1160,CUST256,Female,24,Pune,Groceries,Paneer,10,73.09,730.9,Wallet,2024-09-02,10,657.81,Yes
BB1161,CUST582,Male,48,Thane,Toys & Games,Coloring Kit,5,160.98,804.9,Cash,2024-12-20,5,764.65,Yes
BB1162,CUST601,Male,28,Lucknow,Furniture,Plastic Stool,4,497.73,1990.92,Credit Card,2024-11-28,15,1692.28,Yes
BB1163,CUST961,Female,54,Thane,Apparel,Cap,8,120.28,962.24,Cash,2025-01-25,20,769.79,Yes
BB1164,CUST271,Male,22,Patna,Toys & Games,Board Game,7,205.67,1439.69,Wallet,2025-01-03,10,1295.72,No
BB1165,CUST703,Female,23,Thane,Household,Room Freshener,1,209.4,209.4,Credit Card,2024-10-22,15,177.99,Yes
BB1166,CUST765,Female,23,Chennai,Toys & Games,Building Blocks,9,403.39,3630.51,Wallet,2024-11-08,0,3630.51,Yes
BB1167,CUST814,Female,56,Indore,Stationery,Scale,3,32.48,97.44,Wallet,2025-05-03,20,77.95,No
BB1168,CUST915,Male,45,Hyderabad,Beauty,Perfume,1,266.25,266.25,Wallet,2024-09-30,0,266.25,Yes
BB1169,CUST810,Female,55,Pune,Household,Toilet Paper,1,133.2,133.2,Wallet,2025-01-22,20,106.56,Yes
BB1170,CUST919,Male,49,Jaipur,Household,Broom,9,222.85,2005.65,Cash,2024-07-05,20,1604.52,No
BB1171,CUST239,Male,33,Ranchi,Stationery,Pen,5,77.47,387.35,UPI,2025-03-29,20,309.88,Yes
BB1172,CUST280,Female,40,Ranchi,Electronics,Smartwatch,4,160.57,642.28,UPI,2024-10-31,0,642.28,No
BB1173,CUST313,Male,58,Surat,Furniture,Plastic Stool,10,234.53,2345.3,Wallet,2024-07-17,15,1993.51,No
BB1174,CUST924,Female,63,Patna,Stationery,Pencil,9,60.9,548.1,UPI,2024-10-11,20,438.48,No
BB1175,CUST273,Male,56,Lucknow,Sports,Gym Gloves,5,379.95,1899.75,Credit Card,2024-09-26,0,1899.75,Yes
BB1176,CUST716,Female,56,Hyderabad,Beauty,Perfume,3,192.11,576.33,Credit Card,2025-06-14,20,461.06,Yes
BB1177,CUST677,Female,39,Ahmedabad,Kitchen,Gas Lighter,6,142.15,852.9,UPI,2024-11-06,15,724.96,Yes
BB1178,CUST541,Female,40,Bhopal,Stationery,Pen,4,165.83,663.32,Wallet,2024-10-14,5,630.15,Yes
BB1179,CUST373,Female,46,Patna,Groceries,Oil,6,411.74,2470.44,Cash,2024-11-09,5,2346.92,Yes
BB1180,CUST153,Male,31,Thane,Household,Mop,9,286.11,2574.99,UPI,2025-06-12,20,2059.99,Yes
BB1181,CUST629,Male,46,Lucknow,Sports,Skipping Rope,7,446.66,3126.62,UPI,2025-02-17,15,2657.63,No
BB1182,CUST415,Male,28,Kolkata,Electronics,Smartwatch,4,102.81,411.24,Credit Card,2025-02-13,5,390.68,Yes
BB1183,CUST245,Male,65,Bangalore,Stationery,Files,3,438.44,1315.32,UPI,2025-03-19,20,1052.26,No
BB1184,CUST512,Female,29,Ahmedabad,Groceries,Honey,6,338.8,2032.8,Wallet,2024-11-20,20,1626.24,Yes
BB1185,CUST451,Male,64,Delhi,Apparel,Leggings,6,440.44,2642.64,Wallet,2024-11-29,10,2378.38,Yes
BB1186,CUST615,Female,47,Ahmedabad,Apparel,Track Pants,2,352.97,705.94,Credit Card,2025-02-24,15,600.05,No
BB1187,CUST116,Male,33,Indore,Electronics,Headphones,3,155.4,466.2,Cash,2024-07-01,0,466.2,No
BB1188,CUST591,Male,32,Visakhapatnam,Household,Room Freshener,10,333.65,3336.5,Cash,2024-09-09,5,3169.67,Yes
BB1189,CUST737,Female,59,Chandigarh,Beauty,Hair Oil,7,46.23,323.61,Cash,2024-10-31,20,258.89,No
BB1190,CUST926,Female,56,Ahmedabad,Kitchen,Gas Lighter,4,461.02,1844.08,Wallet,2024-09-26,15,1567.47,No
BB1191,CUST769,Female,62,Jaipur,Kitchen,Rolling Pin,7,480.58,3364.06,Wallet,2025-02-19,20,2691.25,No
BB1192,CUST125,Female,39,Mumbai,Kitchen,Rolling Pin,9,429.18,3862.62,Cash,2024-11-16,20,3090.1,No
BB1193,CUST940,Female,51,Indore,Groceries,Pickles,1,347.99,347.99,Cash,2025-05-17,5,330.59,No
BB1194,CUST607,Female,29,Ahmedabad,Groceries,Bread,2,429.66,859.32,Cash,2025-01-24,20,687.46,No
BB1195,CUST550,Male,36,Hyderabad,Apparel,Saree,9,444.17,3997.53,UPI,2024-11-29,5,3797.65,Yes
BB1196,CUST864,Female,23,Jaipur,Apparel,Jacket,4,484.74,1938.96,Cash,2024-11-25,0,1938.96,Yes
BB1197,CUST318,Female,39,Pune,Toys & Games,Building Blocks,10,195.57,1955.7,UPI,2025-03-14,15,1662.35,No
BB1198,CUST155,Female,55,Mumbai,Beauty,Conditioner,4,227.97,911.88,UPI,2024-12-01,10,820.69,Yes
BB1199,CUST884,Female,25,Indore,Toys & Games,Board Game,5,375.96,1879.8,Cash,2025-02-28,20,1503.84,No
BB1200,CUST749,Female,54,Kolkata,Beauty,Lotion,7,230.16,1611.12,Credit Card,2024-07-18,10,1450.01,Yes
BB1201,CUST533,Male,57,Visakhapatnam,Electronics,Fridge,2,298.72,597.44,Credit Card,2024-12-10,20,477.95,Yes
BB1202,CUST665,Female,41,Nagpur,Groceries,Spices,4,341.87,1367.48,Credit Card,2024-10-03,0,1367.48,No
BB1203,CUST357,Male,37,Hyderabad,Beauty,Lotion,5,170.18,850.9,UPI,2024-08-27,20,680.72,No
BB1204,CUST780,Female,34,Delhi,Stationery,Whiteboard Marker,5,105.32,526.6,Cash,2025-01-10,0,526.6,No
BB1205,CUST587,Female,54,Surat,Toys & Games,Coloring Kit,3,205.95,617.85,Credit Card,2024-12-26,5,586.96,Yes
BB1206,CUST944,Male,54,Ranchi,Electronics,Tablet,8,179.74,1437.92,Credit Card,2025-01-22,15,1222.23,Yes
BB1207,CUST556,Female,31,Thane,Apparel,T-Shirt,8,372.05,2976.4,Wallet,2025-04-03,5,2827.58,Yes
BB1208,CUST325,Male,63,Thane,Kitchen,Cutting Board,8,64.67,517.36,Credit Card,2025-05-20,0,517.36,No
BB1209,CUST917,Male,31,Delhi,Beauty,Face Cream,8,238.04,1904.32,UPI,2024-12-29,0,1904.32,Yes
BB1210,CUST661,Female,34,Ahmedabad,Furniture,Bookshelf,10,273.64,2736.4,Cash,2024-10-23,5,2599.58,No
BB1211,CUST415,Female,36,Chandigarh,Electronics,Washing Machine,3,369.32,1107.96,UPI,2024-12-18,15,941.77,No
BB1212,CUST643,Male,39,Indore,Sports,Yoga Mat,6,53.92,323.52,Credit Card,2025-04-23,15,274.99,No
BB1213,CUST635,Female,46,Vadodara,Apparel,Jeans,4,114.97,459.88,UPI,2025-05-17,5,436.89,No
BB1214,CUST661,Female,38,Patna,Stationery,Notebook,8,155.01,1240.08,UPI,2025-04-24,5,1178.08,No
BB1215,CUST544,Female,37,Indore,Furniture,Foldable Table,1,208.68,208.68,Cash,2024-09-07,10,187.81,No
BB1216,CUST806,Female,64,Ranchi,Stationery,Pen,1,107.75,107.75,UPI,2025-07-01,15,91.59,No
BB1217,CUST686,Male,35,Ahmedabad,Apparel,Track Pants,1,314.89,314.89,UPI,2025-02-17,10,283.4,Yes
